"","Value","Duration","Start","End","mean_x","mean_y","POGsdSacAmp","RMS","subj","trial_id","stim","session_id","Order","Trial"
"229","f",666.666666666667,10774.3333333333,11440,465.813791046143,473.42631606102,0.414851648461452,0.2476335366317,"D","liceu","liceu",1,31,3
"231","f",626.666666666667,11454.3333333333,12080,625.717786748359,496.121955409012,0.511563507911453,0.21869145131623,"D","liceu","liceu",1,33,3
"233","f",193.333333333333,12114.3333333333,12306.6666666667,785.759337589659,472.985441010574,0.334896342608886,0.327180681543837,"D","liceu","liceu",1,35,3
"235","f",353.333333333333,12314.3333333333,12666.6666666667,835.26683792978,547.717516940157,0.410185689173586,0.247855380935757,"D","liceu","liceu",1,37,3
"237","f",566.666666666667,12674.3333333333,13240,766.305543428309,534.304143477012,0.551009553373907,0.245226330314303,"D","liceu","liceu",1,39,3
"239","f",373.333333333333,13254.3333333333,13626.6666666667,900.49371438367,543.721371397376,0.374232483117713,0.250722673274578,"D","liceu","liceu",1,41,3
"241","f",1126.66666666667,13634.3333333333,14760,972.696937208698,543.995201062731,0.684337339760784,0.281442865431036,"D","liceu","liceu",1,43,3
"243","f",666.666666666667,14774.3333333333,15440,1129.67049591064,600.671051926017,0.573228646103935,0.298821815512234,"D","liceu","liceu",1,45,3
"245","f",1053.33333333333,15454.3333333333,16506.6666666667,1207.4063382692,646.940608881697,0.326827266391371,0.206380167834649,"D","liceu","liceu",1,47,3
"247","f",2126.66666666667,16534.3333333333,18660,1372.37134080845,690.263243953262,1.16353499548075,0.301842339340745,"D","liceu","liceu",1,49,3
"249","f",666.666666666667,18714.3333333333,19380,867.774336433411,781.441991424561,0.657389071729455,0.292554126039585,"D","liceu","liceu",1,51,3
"251","f",426.666666666667,19421,19846.6666666667,478.353598117828,582.540609490126,0.456886635514261,0.326822851824997,"D","liceu","liceu",1,53,3
"253","f",93.3333333333333,19914.3333333333,20006.6666666667,708.998401096889,182.074499947684,0.265965598927047,0.280232629851962,"D","liceu","liceu",1,55,3
"255","f",166.666666666667,20014.3333333333,20180,714.604797363281,84.968994140625,0,0,"D","liceu","liceu",1,57,3
"257","f",366.666666666667,20194.3333333333,20560,856.917120361328,218.97824790261,0.381669443522154,0.345116571387502,"D","liceu","liceu",1,59,3
"259","f",526.666666666667,20574.3333333333,21100,871.595787555357,323.656245654142,0.51976541206474,0.280770991707571,"D","liceu","liceu",1,61,3
"261","f",140,21121,21260,926.65919971466,85.2066040039062,0,0,"D","liceu","liceu",1,63,3
"263","f",926.666666666667,21274.3333333333,22200,1129.93160269758,381.690491902742,0.662902114313225,0.293954116568752,"D","liceu","liceu",1,65,3
"265","f",286.666666666667,22281,22566.6666666667,1110.08081888598,559.621841989804,0.383828610628216,0.269630407958931,"D","liceu","liceu",1,67,3
"267","f",140,22581,22720,1114.31999969483,467.526601791382,0,0,"D","liceu","liceu",1,69,3
"269","f",973.333333333333,22734.3333333333,23706.6666666667,1099.0454135529,553.743406889986,0.733028795263662,0.280147838895886,"D","liceu","liceu",1,71,3
"271","f",313.333333333333,23734.3333333333,24046.6666666667,1392.41157401876,512.538587242682,0.373165845092295,0.285626675899574,"D","liceu","liceu",1,73,3
"273","f",206.666666666667,24061,24266.6666666667,1345.72149461315,439.508961954424,0.223726799850451,0.218421990230338,"D","liceu","liceu",1,75,3
"275","f",120,24361,24480,1166.18026691013,500.515800144937,0.515000470763157,0.373158326833541,"D","liceu","liceu",1,77,3
"277","f",160,24501,24660,1285.07840092977,404.114174842834,0.371954128637914,0.278669984472558,"D","liceu","liceu",1,79,3
"279","f",146.666666666667,24674.3333333333,24820,1301.76959228515,250.424995422364,0,0,"D","liceu","liceu",1,81,3
"281","f",486.666666666667,24834.3333333333,25320,1288.4171849081,434.098232661208,0.612225605146782,0.283773501061217,"D","liceu","liceu",1,83,3
"283","f",253.333333333333,25354.3333333333,25606.6666666667,1377.57448537726,284.055348245721,0.371217822605714,0.262474165090013,"D","liceu","liceu",1,85,3
"285","f",433.333333333333,25634.3333333333,26066.6666666667,1383.0519136869,233.711751028208,0.397172671872921,0.287461157500203,"D","liceu","liceu",1,87,3
"287","f",1866.66666666667,26094.3333333333,27960,1558.30607953753,255.983220345633,0.452768006028415,0.227889651499277,"D","liceu","liceu",1,89,3
"289","f",153.333333333333,28054.3333333333,28206.6666666667,1552.00695933466,449.463600075763,0.319013480270274,0.26203883205908,"D","liceu","liceu",1,91,3
"291","f",506.666666666667,28214.3333333333,28720,1504.62821097123,495.823594885045,0.46820085590178,0.255679477942919,"D","liceu","liceu",1,93,3
